_id,date,person,website,flat_link,profile_type,delta,delta_bin,duplicate,count,first,stage
ObjectID(5845897451d6dab829bba729),2016-09-16T16:32:06.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2X4QT3W","normal",1952.23,180,false,1,,0
ObjectID(5845897751d6dab829bba737),2016-09-16T16:32:55.000Z,"danielbuschle2@gmail.com","immowelt","www.immowelt.de/expose/2BGWN4B","normal",2873.22,180,false,1,,0
ObjectID(5845897851d6dab829bba73b),2016-09-16T16:33:11.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2BVX34C","normal",2875.3,180,false,1,,0
ObjectID(5845897b51d6dab829bba747),2016-09-16T16:34:10.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2B3FV4C","normal",1969.6,180,false,1,,0
ObjectID(5845897e51d6dab829bba757),2016-09-16T16:35:11.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2A4EC4S","normal",2877.73,180,true,,,0
ObjectID(5845898451d6dab829bba771),2016-09-16T16:59:29.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2X4QT3W","normal",27.38,25,false,1,,0
ObjectID(5845898651d6dab829bba77b),2016-09-16T17:00:14.000Z,"hamit.k.yilmaz@gmail.com","immowelt","www.immowelt.de/expose/2BGWN4B","normal",27.32,25,false,1,,0
ObjectID(5845898851d6dab829bba77f),2016-09-16T17:00:26.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2BVX34C","normal",27.25,25,false,1,,0
ObjectID(5845898a51d6dab829bba78b),2016-09-16T17:01:20.000Z,"ma03592@gmail.com","immowelt","www.immowelt.de/expose/2B3FV4C","normal",27.17,25,false,1,,0
ObjectID(5845898e51d6dab829bba79b),2016-09-16T17:02:17.000Z,"stef.loguercio@gmail.com","immowelt","www.immowelt.de/expose/2A4EC4S","normal",27.1,25,false,1,,0
ObjectID(5845899351d6dab829bba7b1),2016-09-16T17:27:12.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2X4QT3W","normal",27.72,25,false,1,,0
ObjectID(5845899651d6dab829bba7c1),2016-09-16T17:27:59.000Z,"janowski.miko@gmail.com","immowelt","www.immowelt.de/expose/2BGWN4B","normal",27.75,25,false,1,,0
ObjectID(5845899751d6dab829bba7c3),2016-09-16T17:28:06.000Z,"madameowicz@gmail.com","immowelt","www.immowelt.de/expose/2BVX34C","normal",27.67,25,false,1,,0
ObjectID(5845899a51d6dab829bba7d1),2016-09-16T17:29:09.000Z,"hanna.c.berg@gmail.com","immowelt","www.immowelt.de/expose/2B3FV4C","normal",27.82,25,false,1,,0
ObjectID(5845899d51d6dab829bba7df),2016-09-16T17:30:07.000Z,"stephanbraun19@gmail.com","immowelt","www.immowelt.de/expose/2A4EC4S","normal",27.83,25,false,1,,0
ObjectID(584589db51d6dab829bba8e3),2016-09-17T16:33:57.000Z,"aylindemirci132@gmail.com","immowelt","www.immowelt.de/expose/2BY6Z49","normal",13470.83,180,false,1,,0
ObjectID(584589ea51d6dab829bba923),2016-09-17T17:00:35.000Z,"nina.c.weiss@gmail.com","immowelt","www.immowelt.de/expose/2BY6Z49","normal",26.63,25,false,1,,0
